Name	Count
Total count (na.rm TRUE): 	931
N.N.	26
D.	24
B.	23
C.	23
N.	19
L.	17
P.	15
G.	13
J.M.	12
S.	12
H.	10
R.	10
N., N.	 9
V.	 8
E.D.T.	 7
K.W.W.	 7
W.	 7
A.	 6
A.S.	 6
F.	 6
G., J.	 6
H	 6
T.	 6
D., J.	 5
D., M.	 5
E.	 5
S., C.	 5
V.c	 5
B., L.	 4
B.O.	 4
C., A.	 4
D.L.	 4
F., J.	 4
G., A.	 4
G.d	 4
I.l.r	 4
J.G.	 4
J.L.	 4
L, N.S.V.	 4
M., A.	 4
M., C.	 4
M., J.	 4
M., M.	 4
N.C.	 4
R.F.H.	 4
Z.	 4
A.D.T.	 3
B., D.	 3
B., M.	 3
B., W.	 3
C., H.	 3
C., J.	 3
D., F.	 3
D.B.	 3
D.L.M.	 3
D.T.	 3
E., A.	 3
H., M.	 3
J.	 3
J.J.N.	 3
K., H.	 3
L., F.	 3
L.C.C.	 3
M.J.	 3
N.D.L.	 3
P., L.	 3
S., F.	 3
S., J.	 3
S., T.	 3
W., J.	 3
W., P.	 3
A., M.	 2
A.D.B.	 2
A.D.M.	 2
B., F.	 2
B., H.	 2
B., J.	 2
B.d.n	 2
B.L.D.	 2
B.s	 2
C., C.	 2
C., T.	 2
C...	 2
C.....R.	 2
C.B.	 2
C.H.	 2
C.P.V.	 2
D.J.C.	 2
D.m	 2
F.A.M.	 2
F.P.W.	 2
G., F.	 2
G., S.	 2
G......, A.	 2
G.b	 2
H., K.	 2
H.C.	 2
H.F.T.	 2
H.W.	 2
I.C.I.	 2
I.G.	 2
J.F.V.	 2
J.S.	 2
L., P.	 2
L......	 2
L.A.P.	 2
L.M.H.	 2
M., F.	 2
M., H.	 2
M., I.	 2
M., L.	 2
M., S.	 2
N., P.	 2
N...T.	 2
N.J.H.	 2
N.P.	 2
P., C.	 2
P., I.	 2
P.J.S...	 2
P.N.	 2
P.R.B.	 2
P.T.	 2
R., A.	 2
