Name	Count
Total count (na.rm TRUE): 	9431
[S.l.]	6947
[S.l.	1301
[s.l.	 139
[s.l.]	  88
Monachii	  87
[s. l.	  67
[n.p.]	  58
[n.p.	  53
Ienae	  52
S.l.	  41
(S.l.	  35
MONACHII	  35
(S. l. n. d.)	  23
[S. l.	  23
---	  19
Hardervici	  18
[S. l.]	  17
Alt-Stadt Prag	  15
[S. l. et typ.	  14
[S.l	  13
(S. l.)	  11
/S. l.	  11
Cassel	  11
U. o. tr.	   9
[S.l]	   8
Constantz	   8
Gedruckt in der Hoch-Fürstlichen Bischofflichen Residentz-Stadt Neyß	   8
IENAE	   8
Prostat LOVANII	   8
Pedeponti, vulgo Stadt am Hof	   7
[s. l.]	   6
[Stadt am Hof]	   6
Cosmopoli	   6
Harderovici	   6
Prostat Heidelbergae; Bambergae; et Wircebvrgi	   6
[S. l. n. d. ?]	   5
Lichfield	   5
S. l.	   5
Stadt am Hof	   5
Stadt am Hof, nächst Regensburg	   5
U. o. tr. å.	   5
(S. l.	   4
Deutschland	   4
Gedruckt in der Fürstlichen Stadt Liegnitz	   4
Gedrukt	   4
Ienæ	   4
M. D. LXXXVI	   4
Pedeponti, vulgo Stadt am Hof, prope Ratisbonam	   4
Prostat Francofurti	   4
s.l.	   4
[Constantz	   3
[S.l. .	   3
[s.n.]	   3
Gedruckt in der Alten Stadt Prag	   3
Gedruckt in der Churfürstlichen Stadt Meyntz	   3
Gedruckt zu Constantz	   3
Monachii.	   3
New York;Philadelphia	   3
(S.l.)	   2
[Ienae	   2
[n. p.]	   2
[N.p.]	   2
[S. l., s. d.]	   2
[S. l.] M. D. LXXXIX	   2
[S. l.] M. DC. L.	   2
[S. l.] M.D.LXXXIX	   2
[s. n.	   2
[S.n.	   2
[Speier	   2
Alt Stadt Prag	   2
Alt Stadt Prag im Königs-Hoff	   2
Bp	   2
Gedruckt in der Alt-Stadt Prag	   2
Gedruckt in der Fürstlichen Stadt Dresden	   2
Gedruckt in der Königl. Alten Stadt Prag	   2
Ienae.	   2
Italia	   2
Pedeponti, vulgo Stadt am Hoff prope Ratisbonam	   2
Roboreti ; Et Prostat Venetiis	   2
s.l.]	   2
U. o.	   2
(S. l., 1669)	   1
[ s. l.	   1
[[Three lines from Coast of New-England] Boston	   1
[/S. l.	   1
[16], 196, [4] p.	   1
[1789]	   1
[81]-116 p.	   1
[Agnifitiae]	   1
[Cassel	   1
[Cassel]	   1
[Cosmopoli	   1
[Gedruckt in der Hochfürstl. vnd Bischofflichen Residentz Stadt Neyß	   1
[IENAE	   1
[Jacksonburgh?]	   1
[Lichfield]	   1
[Monachii]	   1
[n.p]	   1
[New Orlean	   1
[Norden	   1
[Printed for I. Walsh, ...	   1
[S. l. 1651]	   1
[S. l., 1563]	   1
[S. l., 1589]	   1
[S. l., 1598]	   1
[S. l., 1699]	   1
[S. l., 1790?]	   1
[S. l., ca 1644]	   1
[S. l.] M.D.LXXXX.	   1
[s.l	   1
[S.l ]	   1
[S.L.	   1
[s.l.] : [s.n.]	   1
[S.l.] :[s.n.]	   1
[S.l.]b	   1
[s.l]	   1
[s.n ],[s.l.]	   1
[S.n.]	   1
[sl.	   1
[Stadt am Hof	   1
[Stadt am Hof nächst Regenspurg	   1
[Thorn]	   1
1791.	   1
2122 [!	   1
A S. Vincent	   1
À S. Vincent	   1
A.	   1
Alt- Stadt Prag	   1
Ao.	   1
Bp.	   1
Con privilegio	   1
En Suisse	   1
Geben in der Königl. Stadt Brünn	   1
Gedruckt	   1
Gedruckt der Churfürstlich Stadt Mäyntz	   1
Gedruckt in der [Linden-Stadt]	   1
Gedruckt in der Churfürftlichen Stadt Mäyntz	   1
Gedruckt in der churfurstlichen Stadt Meyntz	   1
Gedruckt in der Fürstlichen Stadt Koburg	   1
Gedruckt in der Hochfürstl. vnd Bischofflichen Residentz Stadt Neyß	   1
Gedruckt in der Keyserlichen freyen Reichs Stadt Lübeck	   1
Gedruckt in der Königl. Alt-Stadt Prag	   1
Gedruckt in der Königlichen Alt-Stadt Prag	   1
Gedruckt in der Königlichen Stadt Brünn	   1
Gedruckt in der Königlichen Stadt Budissin	   1
Gedruckt in Deutschland	   1
Gedruckt inn der Churfürstlichen Stadt Meyntz	   1
Gedruckt inn der Ehurfürstlichen Stadt Zwickaw	   1
Gedruckt onder't ̳(Cruys) [= Norden	   1
Gedruckt und verlegt zu Stadt am Hoff	   1
Gedruckt yn der fürstlichen Stadt Aldenburgk	   1
Gedruckt yn der loffliken Stadt Hannouer	   1
Germanien	   1
Getruckt in der Churfürstlichen Stadt Meyntz	   1
I Iesi	   1
Iena	   1
Ienae ; et Hildbvrghvsae	   1
Ienae Lipsiae	   1
Ienae, Lipsiae	   1
Ienae; et Lipsiae	   1
In der Alten Stadt Prag	   1
In der Fürstlichen Residentz-Stadt Brieg	   1
In der Königl. Creyß-Stadt Leitmeritz	   1
In der Landsfürstl. Haubt-Stadt Grätz	   1
