Name	Count
< >	1
°	1
!	1
/	1
@	1
**	1
̱ ̱	1
Å	1
A***	1
À	1
À ***	1
Aaachen	1
Aaarhuus	1
À abbeville	1
À åbo	1
Aach	1
Aachan	1
Aachen karlsruhe	1
Aachen leipzig	1
Aacher	1
À agent	1
Aagustae taurinorum	1
Aa hoolum	1
Aa hoolum i hialltadal	1
Aaken	1
Aalb	1
Aalborg haderselv	1
Aalborgi	1
Aalburgi	1
Aalen	1
Aalen aalen	1
À alethobathopseudopolis	1
À alethopolis	1
Aalst	1
À alsterdam	1
Aalst vlaanderen bij sacré	1
À amiens	1
Aa montpellier	1
À amstedam	1
Aamsteldam	1
À amstelredame	1
À amsterd	1
Aamsterdam	1
À amsterdame	1
Aandegavi	1
Aan den voet van neêrlands parnas	1
À angers	1
Aan het einde zu magdeburgi	1
À anneci	1
À antiboine de l imprimerie de pincefilleux à la plume de fer besançon	1
Aantwerpen	1
Aan y	1
Aar	1
Aaras	1
Aarau	1
Aarau aarau bey heinrich remigius sauerländer	1
Aarau heinrich remigius sauerländer	1
Aaraw	1
Aarchiae altobr	1
Aarene	1
Aaret	1
Aarg	1
Aargang	1
Aargau	1
À argentcourt	1
À argentine au pelican	1
Aargentorati apud iohan hervagium anno m d xxv	1
Aarh	1
Aarhnus	1
Aarhusen	1
Aarhusi	1
Aarhusii	1
Aarhusij	1
Aarhuss	1
Aarhusz	1
Aarhuus	1
Aarhuus f elmquist	1
À aristocratie	1
Aarlanderveen	1
À arles	1
Aarnheim	1
À arnheim	1
À arnheim l an de grace m dc xxix	1
Aarnhem	1
À arnhem	1
Aarnhem alom	1
Aarnhem chez c m nebe	1
Aarras	1
À arras	1
Aarsfest	1
Aarua	1
Aarverici gelrorum	1
Aastal	1
À augsbourg	1
À auguste	1
À auignon	1
À aurillac	1
À autun	1
À aux	1
À auxerre	1
À avariciopolis	1
Aazaw	1
Ab academica typographia caesareoe	1
À baden	1
Abadia de la oliva	1
Åbae	1
À bale	1
À bâle	1
À bamb	1
Ab antonio zatta descripta est	1
À bassan	1
À bayonne	1
Abbatialbus compluti	1
Abbatialibus compluti	1
Abbatialibus compluti regalis	1
Abbatiâ stivagiensi	1
Abbavillae	1
Abbaye de saint riquier	1
Abbaye de scellières	1
Abbeuille	1
Abbeville l deverite	1
Abbeville par du pré p gérard	1
Abbeville rue saint gilles	1
Abbey church yard	1
Abdera	1
Abdere	1
Abdère	1
Abdére	1
À bedlam	1
Abel	1
Abel anno magno platonico	1
Abellini	1
Abel rivery m d xcvi	1
Abel roper	1
Ab eodem ascensio	1
Ab eodem ponceti le preux ibidem venit	1
Aberdeen dundee edinburgh glasgow	1
Aberdeen edinburgh	1
Aberdeen edinburgh aberdene	1
Aberdeen edinburgh glasgow leith london perth	1
Aberdeen edinburgh glasgow london	1
Aberdeen london	1
Aberdine	1
Aberdon	1
Aberdonia	1
Aberdonium	1
Abergavenny	1
À bergerac	1
À bergerac m d lxxxv	1
Aberhonddu brecon	1
Aberrain	1
Åberro	1
Abertawe	1
