Name	Count
Shakespeare	652
Macbeth	80
The Plays of William Shakspeare	63
The plays of William Shakspeare	59
The plays of William Shakespeare	54
The Plays Of William Shakspeare	48
Willhelm Shakespears Schauspiele	40
William Shakspeare's sämmtliche Dramatische Werke	38
The Era Shakespeare : Ed, with Notes / by Henry N. Hudson	35
The dramatic works of Shakspeare	32
Shakspeare's dramatische Werke	31
The dramatic works of William Shakespeare	29
The Works of Shakespeare: in eight Volumes	27
The works of Mr. William Shakespear	27
William Shakespeare's Schauspiele	25
The works of Shakespeare	25
The Dramatic Works Of William Shakspeare	25
Romeo and Juliet	25
Hamlet, Prinz von Dännemark	24
The Plays Of Shakspeare	23
The works of Shakespear	22
The plays of William Shakspeare. In twenty-one volumes. With the corrections and illustrations of various commentators. To which are added notes by Sam. Johnson and George Steevens. Revised and augmented by Isaac Reed, with a glossarial index	22
The Plays and Poems Of William Shakspeare	22
Oxberry	22
Hamlet	22
The Plays and poems of William Shakespeare with the corrections and illustrations of various commentators	21
The Dramatick Writings Of Shakspere	21
Shakspeare's Schauspiele	21
King Lear	21
The Plays of Wiliam Shakespeare	20
The Plays Of William Shakespeare	19
Shakespear's dramatische Werke	19
Shakespeare's works	19
Mr. William Shakespeare his comedies, histories, and tragedies	19
Julius Caesar	19
Othello	18
König Lear	18
Cymbeline	18
Venus and Adonis	17
The dramatic works of William Shakspeare	17
The dramatic works of Shakspere	17
William Shakespear's Schauspiele	16
The Dramatic Works of William Shakspeare	16
Hamlet, Prince of Denmark	16
Hamlet, prince of Denmark	15
Wilhelm Shakespears Schauspiele	14
The Works of Shakespear	14
The merchant of Venice	14
Shakspeare's Dramatic Works	14
Measure for measure	14
Hamlet, Prinz von Dänemark	14
Consisting Of Comedies	14
As you like it	14
William Shakespear's Schauspiele / Von Joh. Joach. Eschenburg.	13
The tempest	13
The merry wives of Windsor	13
The handy-volume Shakspeare : with life and glossary and historical notices / by Charles Knight	13
Othello, the Moor of Venice	13
Titus Andronicus	12
The works of Shakespear in eight volumes	12
The Plays and Poems of William Shakspeare	12
The dramatic works of William Shakespeare, from the correct edition of Isaac Reed, Esq. With copious annotations. Vol. 1. (-12.) - Stereotype edition	12
Shakspear's dramatische Werke	12
Much ado about nothing	12
Der Sturm	12
Timon of Athens	11
The Works Of Mr William Shakespear	11
The late, and much admired play, called Pericles, Prince of Tyre	11
The history of King Lear	11
The Family Shakespeare	11
Mr. William Shakespear's comedies, histories, and tragedies	11
La Place	11
King John	11
Julius Cæsar	11
Consisting Of Tragedies	11
Consisting Of Historical Plays	11
The Dramatic Works Of Shakspeare	10
Shakspeare's dramatische Werke. Übersetzt von August Wilhelm Schlegel	10
Modern characters for 1778	10
Coriolanus	10
Bell's Edition Of Shakespeare's Plays, As they are now performed at the Theatres Royal in London	10
William Shakspeare's selected plays [Texte imprimé	9
Twenty of the plays of Shakespeare	9
The Works Of Shakespear In Nine Volumes	9
The works of Shakespear in eight volumes. The genuine text (collated with all the former editions, and then corrected and emended) is here settled; being restored from the blunders of the first editors and the interpolations of the two last: with a comment and notes, critical and explanatory. By Mr. Pope and Mr. Warburton	9
The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by Sam. Johnson	9
Shakespear Theatralische Werke	9
Othello, the moor of Venice	9
König Heinrich der Sechste	9
1750	9
William Shakespears Schauspiele	8
The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected; with notes, explanatory, and critical: by Mr. Theobald. Printed verbatim from the octavo edition	8
The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald	8
The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by S. Johnson	8
The Plays of William Shakespeare	8
The Plays of Shakespeare	8
Schauspiele	8
Mr. William Shakespeare's comedies, histories and tragedies, published according to the true original copies. Unto which is added, seven plays, never before printed in folio	8
King Henry VIII	8
King Henry IV	8
Dramatische Werke	8
Antony and Cleopatra	8
William Shakspeare's Tragiske Vaerker	7
William Shakspeare's selected plays, from the last edition of Johnson and Steevens; with brief explanatory notes, extracted from various commentators. Volume the first (-the sixth	7
The tragedy of King Richard the third	7
The plays of William Shakspeare. .	7
The history of Henrie the fourth	7
The first edition of the tragedy of Hamlet	7
The dramatic works of Shakespeare	7
Lucrece	7
König Heinrich der Vierte	7
King Richard III	7
... Band. welcher sieben diesem Dichter beygelegte dramatische Stücke, theils ganz, theils im Auszuge enthält	7
The works	6
The tragedie of King Richard the third	6
The most excellent and lamentable tragedie of Romeo and Juliet	6
The historie of Henry the Fourth	6
The comedy of errors	6
The beauties of Shakspeare	6
Shakspeare's Sämmtliche Schauspiele	6
Othello, der Mohr von Venedig	6
Mr. William Shakespeares comedies, histories, & tragedies	6
Mr. William Shakespeares comedies, histories, and tragedies	6
Die lustigen Weiber von Windsor	6
A midsommer nights dreame	6
Wie es euch gefällt	5
Twelfth night, or, What you will	5
Timon von Athen	5
The tragedy of Macbeth	5
The tragedy of Hamlet Prince of Denmarke	5
The tragedie of King Richard the second	5
The second part of Henry IV	5
The plays and poems of William Shakespeare	5
Tempest	5
Shakspeare's dramatic works	5
Poems	5
Pericles, prince of Tyre	5
Much adoe about nothing	5
Merchant of Venice	5
Der Kaufmann von Venedig	5
Coriolan	5
Comedy of errors	5
All's well that ends well	5
William Shakespeare	4
Twelfth night; or, What you will	4
Troilus and Cressida	4
The Works of William Shakespear [sic] [Texte imprimé	4
The Works Of Shakespear	4
The winter's tale	4
The tragedy of Hamlet Prince of Denmark	4
The plays and poems of William Shakspeare	4
The passionate pilgrime	4
The most excellent historie of the merchant of Venice	4
The first part of Henry IV	4
The Dramatic Works Of William Shakspeare With A Life Of the Poet; The Preface by Dr. Johnson; And A Glossarial Index	4
The cronicle history of Henry the fift	4
The Comedy Of Errors	4
The beauties of Shakespear	4
Romeo und Julie	4
Richard III	4
Reeve	4
Mr William Shakespeares Comedies, histories and tragedies, published according to the true originall copies [Texte imprimé	4
Maaß für Maaß	4
Love's labour's lost	4
König Richard der Dritte	4
König Johann	4
König Heinrich der Fünfte	4
King Henry VI	4
King Henry V	4
Henry IV	4
Dramatische Werke / William Shakespeare. August Wilhelm Schlegel [Übers.	4
Coriolanus, or the Roman matron	4
All for love, or the World well lost, a tragedy, as it is acted at the Theatre royal, and written in imitation of Shakespeare's stile, by John Dryden,... [Texte imprimé	4
Winter's tale	3
William Shakspeare's Gedichte	3
William Shakespeares sämmtliche dramatische Werke	3
Viel Lärmens um Nichts	3
Two gentlemen of Verona	3
The works of William Shakespeare	3
The Works of Shakespeare... [collated with the oldest copies and corrected, with notes explanatory and critical, by Mr Theobald.] [Texte imprimé	3
The two gentlemen of Verona	3
The tragoedy of Othello, the Moore of Venice	3
The tragoedy of Othello	3
The tragicall historie of Hamlet, Prince of Denmarke	3
The Tragical history of king Richard III... alter'd from Shakespear by C. Cibber [Texte imprimé	3
The Tragical History Of King Richard III	3
The tragedy of Hamlet	3
The third part of Henry the Sixth	3
The tempest, or, The enchanted island	3
The taming of the shrew	3
The second part of Henrie the fourth	3
The poems of William Shakespeare	3
The most lamentable Romaine tragedie of Titus Andronicus	3
The most excellent historie of the Merchant of Venice	3
The Merry wives of Windsor, a comedy, by Mr William Shakespear [Texte imprimé	3
The life of Henry VIII	3
The life and death of Richard III	3
The life and death of King John	3
The historie of Henrie the fourth	3
The famous historie of Troylus and Cresseid	3
The Beauties Of Shakspeare	3
Six Old Plays, On Which Shakspeare Founded His Measure For Measure, Comedy Of Errors, Taming The Shrew, King John, K. Henry IV. And K. Henry V., King Lear	3
Shakspeare's Vorschule	3
Shakspeare's von Schlegel noch unübersetzte dramatische Werke	3
Shakspeare's Genius	3
Shakspeare's dramatische Werke [Texte imprimé	3
